芭贰老磊,芭贰矫埃,瘤开,楷丰盔,惯傈樊(MWh)
2023-12-01,1,腊瘤,浅仿,706.271491
2023-12-01,2,腊瘤,浅仿,660.160938
2023-12-01,3,腊瘤,浅仿,650.606714
2023-12-01,4,腊瘤,浅仿,684.363459
2023-12-01,5,腊瘤,浅仿,697.229672
2023-12-01,6,腊瘤,浅仿,686.975524
2023-12-01,7,腊瘤,浅仿,683.180904
2023-12-01,8,腊瘤,浅仿,667.393487
2023-12-01,9,腊瘤,浅仿,639.062735
2023-12-01,10,腊瘤,浅仿,659.591274
2023-12-01,11,腊瘤,浅仿,575.172933
2023-12-01,12,腊瘤,浅仿,554.438646
2023-12-01,13,腊瘤,浅仿,541.980005
2023-12-01,14,腊瘤,浅仿,561.656518
2023-12-01,15,腊瘤,浅仿,588.848755
2023-12-01,16,腊瘤,浅仿,619.893646
2023-12-01,17,腊瘤,浅仿,667.669485
2023-12-01,18,腊瘤,浅仿,768.620376
2023-12-01,19,腊瘤,浅仿,828.216721
2023-12-01,20,腊瘤,浅仿,773.505373
2023-12-01,21,腊瘤,浅仿,725.97058
2023-12-01,22,腊瘤,浅仿,618.354121
2023-12-01,23,腊瘤,浅仿,605.72944
2023-12-01,24,腊瘤,浅仿,581.274895
2023-12-02,1,腊瘤,浅仿,600.929588
2023-12-02,2,腊瘤,浅仿,613.274583
2023-12-02,3,腊瘤,浅仿,678.409058
2023-12-02,4,腊瘤,浅仿,657.649903
2023-12-02,5,腊瘤,浅仿,675.182138
2023-12-02,6,腊瘤,浅仿,756.262718
2023-12-02,7,腊瘤,浅仿,761.01143
2023-12-02,8,腊瘤,浅仿,713.735122
2023-12-02,9,腊瘤,浅仿,673.561797
2023-12-02,10,腊瘤,浅仿,687.192094
2023-12-02,11,腊瘤,浅仿,685.380254
2023-12-02,12,腊瘤,浅仿,702.89254
2023-12-02,13,腊瘤,浅仿,707.771398
2023-12-02,14,腊瘤,浅仿,643.4509
2023-12-02,15,腊瘤,浅仿,627.821383
2023-12-02,16,腊瘤,浅仿,659.546804
2023-12-02,17,腊瘤,浅仿,670.630855
2023-12-02,18,腊瘤,浅仿,697.936539
2023-12-02,19,腊瘤,浅仿,747.311406
2023-12-02,20,腊瘤,浅仿,786.561435
2023-12-02,21,腊瘤,浅仿,822.242535
2023-12-02,22,腊瘤,浅仿,799.229397
2023-12-02,23,腊瘤,浅仿,848.919014
2023-12-02,24,腊瘤,浅仿,927.068375
2023-12-03,1,腊瘤,浅仿,950.8737
2023-12-03,2,腊瘤,浅仿,919.517372
2023-12-03,3,腊瘤,浅仿,860.776091
2023-12-03,4,腊瘤,浅仿,742.550471
2023-12-03,5,腊瘤,浅仿,705.266915
2023-12-03,6,腊瘤,浅仿,550.55157
2023-12-03,7,腊瘤,浅仿,429.917162
2023-12-03,8,腊瘤,浅仿,339.807638
2023-12-03,9,腊瘤,浅仿,210.601422
2023-12-03,10,腊瘤,浅仿,172.961404
2023-12-03,11,腊瘤,浅仿,121.800065
2023-12-03,12,腊瘤,浅仿,104.727879
2023-12-03,13,腊瘤,浅仿,107.261245
2023-12-03,14,腊瘤,浅仿,101.12912
2023-12-03,15,腊瘤,浅仿,102.516082
2023-12-03,16,腊瘤,浅仿,100.462897
2023-12-03,17,腊瘤,浅仿,102.733612
2023-12-03,18,腊瘤,浅仿,129.638723
2023-12-03,19,腊瘤,浅仿,166.068147
2023-12-03,20,腊瘤,浅仿,215.454516
2023-12-03,21,腊瘤,浅仿,256.946628
2023-12-03,22,腊瘤,浅仿,271.024183
2023-12-03,23,腊瘤,浅仿,313.825518
2023-12-03,24,腊瘤,浅仿,365.708851
2023-12-04,1,腊瘤,浅仿,408.982407
2023-12-04,2,腊瘤,浅仿,442.04539
2023-12-04,3,腊瘤,浅仿,435.798705
2023-12-04,4,腊瘤,浅仿,452.262668
2023-12-04,5,腊瘤,浅仿,469.560065
2023-12-04,6,腊瘤,浅仿,465.305914
2023-12-04,7,腊瘤,浅仿,473.914207
2023-12-04,8,腊瘤,浅仿,438.804647
2023-12-04,9,腊瘤,浅仿,415.87002
2023-12-04,10,腊瘤,浅仿,421.204396
2023-12-04,11,腊瘤,浅仿,366.218309
2023-12-04,12,腊瘤,浅仿,299.634589
2023-12-04,13,腊瘤,浅仿,294.02462
2023-12-04,14,腊瘤,浅仿,308.738806
2023-12-04,15,腊瘤,浅仿,277.22098
2023-12-04,16,腊瘤,浅仿,300.669551
2023-12-04,17,腊瘤,浅仿,314.676744
2023-12-04,18,腊瘤,浅仿,356.89373
2023-12-04,19,腊瘤,浅仿,373.213781
2023-12-04,20,腊瘤,浅仿,385.304804
2023-12-04,21,腊瘤,浅仿,333.702011
2023-12-04,22,腊瘤,浅仿,281.889454
2023-12-04,23,腊瘤,浅仿,261.326187
2023-12-04,24,腊瘤,浅仿,276.852695
2023-12-05,1,腊瘤,浅仿,288.097355
2023-12-05,2,腊瘤,浅仿,221.432188
2023-12-05,3,腊瘤,浅仿,159.439281
2023-12-05,4,腊瘤,浅仿,99.351068
2023-12-05,5,腊瘤,浅仿,43.664387
2023-12-05,6,腊瘤,浅仿,21.945379
2023-12-05,7,腊瘤,浅仿,55.87561
2023-12-05,8,腊瘤,浅仿,60.959542
2023-12-05,9,腊瘤,浅仿,39.800656
2023-12-05,10,腊瘤,浅仿,70.89958
2023-12-05,11,腊瘤,浅仿,63.832274
2023-12-05,12,腊瘤,浅仿,36.022113
2023-12-05,13,腊瘤,浅仿,6.019517
2023-12-05,14,腊瘤,浅仿,7.126359
2023-12-05,15,腊瘤,浅仿,8.156861
2023-12-05,16,腊瘤,浅仿,9.845015
2023-12-05,17,腊瘤,浅仿,12.988531
2023-12-05,18,腊瘤,浅仿,33.307494
2023-12-05,19,腊瘤,浅仿,37.360146
2023-12-05,20,腊瘤,浅仿,40.695156
2023-12-05,21,腊瘤,浅仿,82.623081
2023-12-05,22,腊瘤,浅仿,92.70637
2023-12-05,23,腊瘤,浅仿,103.576806
2023-12-05,24,腊瘤,浅仿,194.485755
2023-12-06,1,腊瘤,浅仿,292.21357
2023-12-06,2,腊瘤,浅仿,318.024832
2023-12-06,3,腊瘤,浅仿,307.67842
2023-12-06,4,腊瘤,浅仿,390.911008
