날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-01-01,113.348,67.273,53.214,30.729,21.785,24.522,20.048,16.456,9.552,2.158,1.39,3.054,5.379,13.066,18.1,19.504,20.992,16.616,16.337,15.085,15.829,21.545,23.392,22.188
2024-01-02,19.575,26.575,23.698,20.916,29.333,26.694,18.34,17.45,4.379,3.68,0.937,0.691,0.863,5.146,7.741,8.188,14.745,13.331,22.643,19.02,17.581,6.672,7.344,10.799
2024-01-03,20.42,22.613,39.094,59.266,56.867,54.073,85.089,119.322,143.013,149.286,157.643,132.689,164.855,195.317,215.781,208.109,225.374,210.717,202.602,216.102,216.794,206.952,186.019,144.236
2024-01-04,135.056,101.317,84.691,69.983,71.091,48.879,40.384,18.03,16.981,7.213,6.98,7.544,7.883,11.16,9.831,9.124,6.14,3.751,3.4,4.94,8.018,9.143,11.996,23.08
2024-01-05,34.766,50.254,64.145,65.841,52.15,25.884,24.164,23.217,24.426,14.217,22.745,28.126,39.412,37.06,31.56,25.066,18.603,12.124,18.19,19.3,14.067,20.089,27.854,15.692
2024-01-06,12.654,26.732,37.633,59.794,85.08,92.518,83.77,111.729,122.146,122.598,124.643,89.455,49.341,34.784,77.91,99.495,97.768,102.365,100.492,89.155,85.11,122.944,97.13,84.696
2024-01-07,63.613,91.096,125.16,158.31,161.65,157.729,146.203,159.833,165.373,156.194,151.113,173.038,180.362,184.547,191.248,202.652,203.624,193.407,181.746,176.21,150.089,140.909,117.861,97.817
2024-01-08,78.993,54.798,50.946,54.662,60.554,73.71,61.09,58.31,44.502,41.386,28.179,14.679,5.671,4.497,1.242,1.905,5.251,4.906,6.575,7.526,4.914,2.697,0.112,0.274
2024-01-09,1.335,0.214,1.467,2.908,3.99,1.246,1.974,7.596,11.217,9.437,14.119,15.944,11.167,14.43,14.933,15.692,12.485,11.767,25.664,66.218,65.108,50.213,47.538,62.519
2024-01-10,60.437,41.971,97.196,123.441,170.579,184.291,198.136,212.993,226.458,222.313,196.753,191.029,181.863,152.389,205.701,220.51,225.731,227.632,214.759,197.218,177.929,168.474,142.434,95.604
2024-01-11,98.651,104.363,89.171,122.373,81.625,91.116,93.855,91.91,65.59,66.269,56.783,68.153,77.656,67.762,50.249,31.595,34.449,41.055,50.828,39.96,48.705,38.813,33.178,40.831
2024-01-12,40.025,41.758,41.576,49.835,67.255,64.271,61.765,54.225,52.258,26.896,17.797,28.319,42.074,36.315,39.486,36.935,58.13,58.178,50.093,47.225,85.114,81.105,100.347,100.8
2024-01-13,88.421,103.773,114.26,105.21,109.819,98.238,76.907,78.845,69.344,64.796,87.676,87.972,83.456,80.012,81.822,92.53,74.816,25.665,34.801,16.639,11.882,10.101,7.376,8.806
2024-01-14,14.578,35.709,72.743,74.114,56.289,52.764,56.613,71.891,69.017,76.508,107.738,100.405,85.07,83.338,118.446,116.785,100.224,89.335,86.025,51.401,80.966,125.748,142.912,174.743
2024-01-15,194.049,194.935,185.519,187.655,190.278,210.259,224.285,223.26,212.112,211.428,215.325,154.058,101.139,123.309,150.295,190.114,202.06,176.876,205.985,194.819,193.057,177.482,165.192,149.441
2024-01-16,125.63,138.568,145.922,135.807,139.549,133.761,118.004,100.832,81.319,56.011,33.228,19.761,10.792,7.669,9.36,10.368,7.297,3.09,5.226,1.894,5.094,6.476,5.765,4.885
2024-01-17,5.399,12.461,20.451,25.536,27.631,33.331,44.165,36.039,35.546,31.739,38.621,44.613,62.089,96.832,104.169,81.113,88.177,95.491,72.72,79.357,87.471,79.103,71.278,68.152
2024-01-18,72.367,77.137,75.515,55.399,52.257,45.188,34.457,26.925,33.703,35.886,22.915,18.402,17.899,20.726,21.91,31.269,35.878,30.081,33.625,25.353,20.383,27.309,16.8,9.862
2024-01-19,6.096,6.064,15.203,68.834,103.019,101.342,107.702,105.974,119.377,108.552,101.262,110.242,118.44,117.361,115.188,111.52,108.827,106.692,104.55,93.913,84.68,79.245,83.044,84.2
2024-01-20,89.941,87.311,94.479,94.944,105.472,105.373,106.414,110.234,104.493,88.781,89.329,93.871,93.431,84.782,83.005,85.578,94.046,95.922,93.069,115.691,125.516,154.229,151.098,150.865
2024-01-21,145.54,127.911,118.526,124.323,114.402,96.376,81.73,66.625,62.246,60.484,49.617,38.652,34.903,64.765,128.862,143.179,158.008,177.345,185.318,206.578,212.464,232.627,226.497,232.302
2024-01-22,236.996,239.736,237.69,235.447,238.093,229.954,235.94,233.25,234.789,227.281,216.743,212.978,225.858,219.701,210.787,205.532,202.959,210.177,199.753,200.996,210.953,204.386,192.637,200.715
2024-01-23,191.226,194.49,188.023,194.467,181.229,189.747,191.116,189.351,189.422,195.749,197.46,194.977,182.295,199.158,201.737,206.622,201.118,176.323,171.772,165.871,172.876,183.863,191.035,189.728
2024-01-24,184.726,187.664,169.172,166.622,165.924,169.207,171.095,175.599,174.282,171.824,176.813,176.266,189.835,185.689,181.695,184.941,194.351,185.768,182.743,200.987,207.4,207.313,197.273,181.494
2024-01-25,171.311,169.437,178.15,188.358,173.731,148.259,130.33,130.798,131.081,147.782,128.239,116.408,112.873,113.391,130.19,147.812,145.764,160.087,186.117,178.913,189.331,184.426,145.688,127.484
2024-01-26,112.029,143.195,115.454,94.638,97.122,108.383,101.353,85.243,72.611,58.83,63.029,74.963,75.525,83.056,110.886,123.437,117.774,101.207,70.956,73.463,67.835,76.857,82.427,74.466
2024-01-27,76.951,82.959,74.431,77.325,64.438,45.543,45.13,44.875,51.1,45.957,42.075,62.618,70.091,69.814,81.055,67.728,60.381,91.76,85.845,77.409,92.305,88.083,79.157,72.513
2024-01-28,59.258,81.029,89.177,113.524,116.206,117.466,135.132,164.843,144.524,128.246,114.264,136.658,116.474,86.166,81.975,127.052,138.95,105.941,87.964,123.028,117.28,66.196,44.38,24.851
2024-01-29,32.587,43.201,44.251,34.62,31.655,47.596,56.176,46.895,18.41,16.712,20.479,15.523,8.409,6.508,6.383,10.658,10.361,16.875,23.746,13.767,10.664,10.203,12.18,7.141
2024-01-30,6.435,4.672,4.656,3.609,3.346,3.958,4.236,5.122,7.182,4.248,2.458,1.532,0.355,1.696,2.832,3.389,10.203,17.05,13.163,13.534,17.356,22.454,22.61,35.89
2024-01-31,44.035,37.384,14.844,9.527,12.091,7.328,9.914,12.615,6.694,8.567,12.277,11.52,4.031,5.744,9.216,9.799,2.219,2.985,3.208,3.926,2.85,2.574,5.878,6.295
2024-02-01,9.82,11.403,15.972,35.996,57.359,68.407,75.96,92.838,88.685,111.925,117.389,118.798,100.609,87.705,92.453,108.769,95.862,99.385,101.615,121.047,114.262,85.973,84.646,71.343
2024-02-02,71.421,76.204,87.585,85.851,90.553,81.725,86.483,99.226,101.251,82.887,68.765,64.058,48.124,36.871,31.699,43.671,47.936,43.251,38.259,20.491,23.624,14.941,8.419,5.635
2024-02-03,3.215,3.352,9.204,20.577,23.051,20.673,23.919,33.562,53.436,57.675,41.907,38.615,40.463,43.109,48.411,53.79,59.485,49.419,53.073,62.067,77.72,77.979,79.69,85.165
2024-02-04,72.02,60.815,53.596,60.144,68.781,64.427,56.259,67.969,60.444,50.337,52.342,49.931,59.148,69.233,57.882,52.364,70.373,75.42,83.737,75.919,73.867,100.808,107.531,83.922
2024-02-05,98.895,135.984,90.4,79.854,51.078,47.464,56.26,69.345,38.373,32.51,61.929,129.292,154.555,173.717,191.259,168.631,191.284,168.06,149.588,143.304,129.839,94.621,127.981,128.943
2024-02-06,128.278,122.845,107.35,96.018,102.389,109.326,108.872,93.876,96.319,88.518,97.594,92.265,105.286,108.104,123.236,126.563,124.561,136.41,144.608,147.198,166.296,143.333,142.72,145.005
2024-02-07,154.862,134.083,120.313,123.591,146.255,135.308,141.8,131.788,104.596,100.004,99.218,117.145,142.153,148.753,149.032,143.789,137.075,142.819,124.167,105.156,102.821,126.851,129.844,129.603
2024-02-08,137.874,127.973,103.851,108.2,107.389,120.979,129.793,103.068,105.109,112.082,121.883,132.652,102.559,89.772,85.395,83.968,104.714,115.568,118.14,115.757,129.72,99.907,70.309,91.971
2024-02-09,100.937,101.837,97.045,110.677,132.323,135.16,132.485,92.057,83.103,83.648,97.816,105.077,119.429,138.984,158.141,154.658,143.601,113.858,105.741,113.831,95.065,77.561,70.863,71.709
2024-02-10,66.518,54.753,55.176,52.633,48.973,41.263,29.266,18.156,12.925,7.112,2.494,1.545,4.562,14.667,31.441,43.75,37.311,56.837,45.494,47.226,61.98,60.408,49.672,36.042
2024-02-11,20.048,24.915,38.399,45.808,42.131,41.25,37.229,29.17,31.312,49.501,76.224,107.194,138.117,166.854,181.24,186.885,190.297,182.609,160.701,143.931,141.295,115.235,99.245,92.932
