순번,도시가스사업자,수요자 수(개),누계공급량(천세제곱미터),배관(미터),누계공급량(천메가줄)
1,코원ES,1591649,1582332,3360986,67640713
2,예스코,1452010,1272443.455,3491070,54605150.15
3,서 울,2649187,1897695,4632449,81586984.59
4,귀뚜라미,415120,308150,586732.3,12717270.11
5,대 륜,968686,848022.0032,2076248.2,36492194.09
6,삼천리,3358331,3994871.172,7034945.6,171519235.1
7,인 천,827942,890119,1636265,38267111.43
8,부 산,1596213,1325130.401,2794990,56727468.59
9,대 성,1222606,1069841.056,3111994.95,45857675.42
10,해 양,784632,757062,2530629,32337257.42
11,CNCITY,689882,661806,1765760.21,28253191
12,경 동,638630,1833522.579,2536988.3,78460423.72
13,강 원,155685,188752.3,550808.43,8088509.906
14,참빛원주,169174,189926.4461,531637.7,8157725.829
15,참빛영동,80307,100291,262981,4298790.064
16,참 빛,41674,32038,102301,1354218
17,명 성,1938,10921.011,15300.3,512984.0672
18,충청ES,485726,850283.607,1399247,36385230.08
19,참빛충북,84803,150155.0801,366759.8,6518312.071
20,J B,682789,943347,2206039,40336271.53
21,서 해,202601,636025,1067025,27132103.31
22,전 북,396865,468460,1499522,19975143.44
23,군 산,128931,290343.3994,579882.1,12375743.59
24,전북ES,126712,181824.3039,414215,7745410.112
25,목 포,156221,129375,607829.9,5528048.49
26,전 남,185000,277965,586939.6,11889545.36
27,대 화,110247,255462.7269,487916.3,10926646
28,영남ES(구미),312933,554350.0615,942059.69,23655720.84
29,영남ES(포항),226890,419628,838532,17127672.99
30,대성청정,103900,174794,427456,7454625.225
31,서라벌,135806,199686,591337,8505338.559
32,경 남,898885,892762.0972,2565269,38252268.97
33,지에스이,210826,175013,766727,7484008.899
34,제 주,49704,34580.72,172175,1488828.39
