瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),惯傈樊(kW),浅氢_cos,浅氢_sin,傍扁剐档(kg/m^3),浅氢_墨抛绊府
184,力林,2024-01-01 00:00:00,8.5,4.1,340.0,57.0,1023.0,22.188,0.9396926207859084,-0.3420201433256686,1.2653431750150508,合浅
184,力林,2024-01-01 01:00:00,8.4,4.6,360.0,56.0,1023.0,113.348,1.0,-2.4492935982947064e-16,1.265792595428837,合浅
184,力林,2024-01-01 02:00:00,8.2,3.8,20.0,60.0,1023.6,67.273,0.9396926207859084,0.3420201433256687,1.2674353227699073,合浅
184,力林,2024-01-01 03:00:00,8.0,5.3,50.0,63.0,1023.7,53.214,0.6427876096865394,0.766044443118978,1.268460840112754,合悼浅
184,力林,2024-01-01 04:00:00,7.8,3.8,50.0,60.0,1023.9,30.729,0.6427876096865394,0.766044443118978,1.269611815164533,合悼浅
184,力林,2024-01-01 05:00:00,7.8,2.2,50.0,55.0,1024.0,21.785,0.6427876096865394,0.766044443118978,1.269735812802502,合悼浅
184,力林,2024-01-01 06:00:00,7.7,2.0,180.0,58.0,1024.4,24.522,-1.0,1.2246467991473532e-16,1.2706840845733045,巢浅
184,力林,2024-01-01 07:00:00,7.6,1.5,160.0,58.0,1024.7,20.048,-0.9396926207859083,0.3420201433256689,1.2715089459005329,巢浅
184,力林,2024-01-01 08:00:00,6.9,1.0,180.0,60.0,1024.9,16.456,-1.0,1.2246467991473532e-16,1.27493594299,巢浅
184,力林,2024-01-01 09:00:00,6.5,1.5,160.0,61.0,1025.4,9.552,-0.9396926207859083,0.3420201433256689,1.2773824298812315,巢浅
184,力林,2024-01-01 10:00:00,8.6,1.7,180.0,54.0,1026.0,2.158,-1.0,1.2246467991473532e-16,1.2686034404067814,巢浅
184,力林,2024-01-01 11:00:00,10.2,1.1,50.0,56.0,1025.9,1.39,0.6427876096865394,0.766044443118978,1.2613170361680726,合悼浅
184,力林,2024-01-01 12:00:00,10.8,2.7,50.0,58.0,1025.2,3.054,0.6427876096865394,0.766044443118978,1.2577929996249748,合悼浅
184,力林,2024-01-01 13:00:00,10.7,2.5,20.0,59.0,1024.6,5.379,0.9396926207859084,0.3420201433256687,1.25749973375088,合浅
184,力林,2024-01-01 14:00:00,9.8,3.8,50.0,66.0,1024.0,13.066,0.6427876096865394,0.766044443118978,1.2607608291460077,合悼浅
184,力林,2024-01-01 15:00:00,9.3,2.9,50.0,72.0,1023.7,18.1,0.6427876096865394,0.766044443118978,1.2626226418753788,合悼浅
184,力林,2024-01-01 16:00:00,8.9,1.3,70.0,74.0,1023.4,19.504,0.3420201433256688,0.9396926207859083,1.2640427363536204,悼浅
184,力林,2024-01-01 17:00:00,8.7,1.1,160.0,79.0,1023.1,20.992,-0.9396926207859083,0.3420201433256689,1.2645688926002356,巢浅
184,力林,2024-01-01 18:00:00,8.5,2.1,200.0,80.0,1023.3,16.616,-0.9396926207859084,-0.34202014332566866,1.2657142433948205,巢浅
